X1,Y1,Z1,X2,Y2,Z2
250.5,1360.5,86.25,222,1353,86.25
222,1353,86.25,210,1381.5,90
222,1353,86.25,229.5,1359,105
229.5,1359,105,250.5,1360.5,86.25
229.5,1359,105,231,1339.5,120
231,1339.5,120,222,1330.5,120
222,1330.5,120,210,1297.5,105
210,1297.5,105,181.5,1296,75
181.5,1296,75,225,1336.5,30
181.5,1296,75,166.5,1264.5,67.5
166.5,1264.5,67.5,168,1269,45
168,1269,45,159,1294.5,30
168,1269,45,223.5,1204.5,41.25
223.5,1204.5,41.25,249,1215,45
223.5,1204.5,41.25,219,1197,45
219,1197,45,250.5,1164,45
250.5,1164,45,255,1156.5,30
250.5,1164,45,213,1089,60
213,1089,60,226.5,1066.5,60
226.5,1066.5,60,225,1059,52.5
225,1059,52.5,225,1045.5,37.5
225,1045.5,37.5,214.5,1053,30
225,1045.5,37.5,219,1018.5,45
219,1018.5,45,211.5,1012.5,52.5
211.5,1012.5,52.5,205.5,1009.5,52.5
205.5,1009.5,52.5,187.5,985.5,30
187.5,985.5,30,84,907.5,30
187.5,985.5,30,145.5,1006.5,33.75
145.5,1006.5,33.75,118.5,1017,30
145.5,1006.5,33.75,187.5,1006.5,63.75
187.5,1006.5,63.75,205.5,1009.5,52.5
187.5,1006.5,63.75,223.5,997.5,97.5
223.5,997.5,97.5,238.5,1003.5,93.75
238.5,1003.5,93.75,264,996,52.5
264,996,52.5,220.5,960,30
264,996,52.5,219,1018.5,45
264,996,52.5,283.5,999,67.5
283.5,999,67.5,315,993,45
315,993,45,324,939,67.5
324,939,67.5,409.002289,950.905945,97.159798
409.002289,950.905945,97.159798,438.616425,929.905334,119.62558
438.616425,929.905334,119.62558,414,898.5,112.5
414,898.5,112.5,445.5,862.5,120
445.5,862.5,120,438,858,63.75
438,858,63.75,445.5,846,37.5
445.5,846,37.5,447,844.5,30
445.5,846,37.5,436.5,759,67.5
436.5,759,67.5,391.5,741,45
391.5,741,45,376.5,726,30
391.5,741,45,414,726,75
414,726,75,436.5,759,67.5
414,726,75,391.5,732,105
391.5,732,105,376.5,733.5,86.25
376.5,733.5,86.25,391.5,741,45
376.5,733.5,86.25,361.5,724.5,67.5
361.5,724.5,67.5,351,721.5,30
361.5,724.5,67.5,417,682.5,138.75
