Node,X,Y,Z
485,613.5,525,30
486,660,556.5,105
487,636,546,105
488,619.787842,522.573669,78.847801
489,589.5,541.5,30
490,589.5,529.5,142.5
491,612,561,112.5
492,607.5,601.5,63.75
493,657,610.5,37.5
494,657,577.5,30
495,720,640.5,48.75
496,714,552,30
497,772.5,639,52.5
498,786,652.5,30
499,781.5,565.5,120
500,793.5,537,78.75
501,760.5,568.5,60
502,762,564,30
503,748.5,564,86.25
504,735,528,101.25
505,724.5,511.5,33.75
506,715.5,511.5,120
507,667.5,489,75
508,627.532349,479.851105,67.291992
509,604.5,520.5,30
510,669,511.5,30
511,714,499.5,138.75
512,738,444,142.5
513,774,444,93.75
514,772.5,432,60
515,765,447,48.75
516,768,477,30
517,745.5,445.5,75
518,699,453,30
519,744,366,116.25
520,744,334.5,116.25
521,724.5,319.5,97.5
522,721.5,288,86.25
523,703.5,262.5,30
524,717,288,97.5
525,646.5,286.5,75
526,624,280.5,30
527,655.5,303,120
528,645,228,131.25
529,615.335205,237.914734,114.607216
530,598.5,214.5,52.5
531,595.5,220.5,48.75
532,577.5,225,30
533,562.5,247.5,75
534,547.5,274.5,120
535,579,286.5,180
536,612,270,168.75
537,607.5,264,153.75
538,573,300,60
539,589.5,307.5,30
540,529.5,352.5,30
541,595.5,247.5,142.5
542,616.5,273,172.5
543,682.5,315,198.75
544,679.5,324,172.5
545,672,304.5,138.75
546,705,316.5,112.5
547,684,354,105
548,658.174194,397.067902,34.644333
549,610.5,411,63.75
550,606,415.5,56.25
551,565.5,477,63.75
552,546,468,86.25
553,538.5,490.5,30
554,574.5,510,135
555,551.330811,530.055603,151.808655
556,571.5,562.5,213.75
557,519,574.5,142.5
558,513,559.5,157.5
559,454.5,535.5,135
560,417,523.5,97.5
561,403.5,549,63.75
562,397.5,540,30
563,435,637.5,30
564,409.5,514.5,93.75
565,411,507,78.75
566,480,487.5,90
567,478.5,483,33.75
568,487.5,484.5,86.25
569,543,547.5,56.25
570,538.5,555,30
571,561.055786,560.710876,119.877243
572,482.182281,580.198181,118.186745
573,465,588,146.25
574,496.5,624,142.5
575,523.5,655.5,138.75
576,516,667.5,112.5
577,511.59436,677.435852,50.399956
578,517.5,699,60
579,505.5,750,45
580,465,735,30
581,513,780,30
582,538.5,693,93.75
583,537,690,101.25
584,532.5,687,116.25
585,514.5,676.5,120
586,540,660,157.5
587,583.5,637.5,153.75
588,574.5,625.5,86.25
589,597,601.5,56.25
590,597,588,30
591,594,646.5,142.5
592,580.5,669,120
593,597,648,138.75
594,625.5,652.5,157.5
595,613.5,681,240
596,642,684,247.5
597,660,694.5,217.5
598,672,703.5,195
599,670.5,747,195
600,660,742.5,150
601,654.377747,755.714539,119.770805
602,634.5,724.5,97.5
603,628.5,718.5,97.5
604,618,700.5,90
605,625.5,693,108.75
606,591,687,127.5
607,595.5,693,131.25
608,577.5,714,157.5
609,582,727.5,142.5
610,582,709.5,168.75
611,558,678,195
612,520.5,633,225
613,516,616.5,225
614,535.5,609,251.25
615,507,559.5,270
616,500.26944,530.088501,251.815811
617,476.315918,487.258881,284.89209
618,489,468,270
619,504,472.5,251.25
620,517.655151,492.163483,231.270493
621,514.5,481.5,168.75
622,513,499.5,127.5
623,499.5,528,138.75
624,466.940582,515.094666,146.056656
625,497.542755,464.447662,142.615829
626,498,421.5,150
627,477.225311,410.006439,147.561157
628,463.5,390,52.5
629,427.5,396,52.5
630,417,412.5,45
631,403.247009,439.569489,65.01989
632,355.5,484.5,33.75
633,322.5,448.5,75
634,315,450,60
635,303,439.5,41.25
636,315,423,30
637,310.5,418.5,30
638,373.5,400.5,101.25
639,397.5,373.5,82.5
640,406.5,412.5,101.25
641,430.5,393,63.75
642,415.5,445.5,123.75
643,391.5,433.5,120
644,441,462,172.5
645,429,456,183.75
646,403.5,484.5,168.75
647,394.118011,510.372772,200.888947
648,399,544.5,165
649,384,556.5,142.5
650,355.5,516,90
651,378.72052,503.86618,54.05957
652,346.5,501,93.75
653,355.381561,481.016846,128.541885
654,312,510,131.25
655,313.5,516,116.25
656,315,502.5,105
657,288,480,86.25
658,300,453,52.5
659,277.5,495,67.5
660,271.5,492,48.75
661,261,495,30
662,270,478.5,48.75
663,279,502.5,67.5
664,312,535.5,48.75
665,324,529.5,30
666,312,544.5,52.5
667,354,579,30
668,303,553.5,86.25
669,297,558,78.75
670,285,562.5,63.75
671,277.5,565.5,52.5
672,222,624,48.75
673,201,615,30
674,258,622.5,116.25
675,238.5,598.5,146.25
676,261,565.5,142.5
677,232.5,607.5,146.25
678,265.5,594,172.5
679,295.5,577.5,180
680,289.5,568.5,180
681,301.5,568.5,168.75
682,307.5,558,165
683,300,574.5,183.75
684,304.5,552,195
685,316.5,544.5,206.25
686,324,537,202.5
687,380.456238,591.179932,199.837952
688,370.5,613.5,258.75
689,367.5,622.5,285
690,372,616.5,266.25
691,396,642,273.75
692,436.5,627,258.75
693,460.5,630,240
694,385.5,597,138.75
695,394.5,591,116.25
696,348.613342,635.757874,70.15889
697,361.5,586.5,30
698,354,585,90
699,310.056854,621.126343,56.157913
700,301.5,603,30
701,337.5,586.5,120
702,313.5,646.5,112.5
703,292.31958,613.039978,105.784599
704,276,616.5,127.5
705,289.5,663,138.75
706,286.5,666,146.25
707,282,667.5,150
708,252,679.5,127.5
709,253.5,663,120
710,237,691.5,120
711,223.5,744,71.25
712,148.5,666,30
713,277.5,751.5,131.25
714,300,771,146.25
715,330,753,120
716,316.5,744,105
717,309,766.5,82.5
718,298.5,781.5,63.75
719,310.5,781.5,30
720,261,817.5,48.75
721,274.5,793.5,30
722,291,835.5,105
723,306,831,112.5
724,364.5,838.5,135
725,358.5,796.5,146.25
726,334.5,762,108.75
727,363.847595,746.321655,145.289749
728,360,750,195
729,406.051788,717.658752,220.629242
730,404.792419,711.685059,187.120071
731,406.5,747,165
732,397.5,748.5,127.5
733,399,766.5,142.5
